phenotype	taxonomy rank level	NCBI taxon id	scientific name	super kingdom	Nr. runs in which the species/genus can be found	mean relative abundance	median relative abundance	SD of relative abundance
D003015	species	371601	Bacteroides xylanisolvens	Bacteria	237	0.463668176105485	0.0338606	1.4019827766727	
D003015	species	46506	Bacteroides stercoris	Bacteria	234	0.815351842662393	0.0456631	3.21303275265324	
D003015	species	246787	Bacteroides cellulosilyticus	Bacteria	234	0.157304776837607	0.0102282	0.555318426937424	
D003015	species	1304	Streptococcus salivarius	Bacteria	233	0.542211304686695	0.0211053	1.66145198760506	
D003015	species	28901	Salmonella enterica	Bacteria	232	0.5678683375	0.0439764	1.76066724668053	
D003015	species	487175	Parasutterella excrementihominis	Bacteria	232	0.843908581646552	0.0176617	3.46589458838948	
D003015	species	29466	Veillonella parvula	Bacteria	227	0.822787764881057	0.04898	2.63407385198872	
D003015	species	1547	Erysipelatoclostridium ramosum	Bacteria	222	1.02960064827477	0.02313925	9.02708993202844	
D003015	species	47678	Bacteroides caccae	Bacteria	222	0.905356728963964	0.0373874	2.95639871363412	
D003015	species	1303	Streptococcus oralis	Bacteria	220	1.66031051533182	0.02575825	6.7069240077014	
D003015	species	33039	[Ruminococcus] torques	Bacteria	220	0.556776434859091	0.01020685	1.78046983196446	
D003015	species	1502	Clostridium perfringens	Bacteria	219	0.592266557415525	0.00937764	3.39998365990102	
D003015	species	84112	Eggerthella lenta	Bacteria	215	0.291269167162791	0.0210962	1.01164091771088	
D003015	species	84030	[Clostridium] saccharolyticum	Bacteria	212	0.103787440367925	0.02019155	0.279265044493775	
D003015	species	37734	Enterococcus casseliflavus	Bacteria	208	0.498939475475962	0.01458695	1.82272989686536	
D003015	species	187327	Acidaminococcus intestini	Bacteria	203	0.76269487546798	0.0427301	2.31076269803514	
D003015	species	1515	Ruminiclostridium thermocellum	Bacteria	202	0.0846545134257426	0.01342705	0.281553819458047	
D003015	species	35833	Bilophila wadsworthia	Bacteria	201	0.3930925179801	0.013714	1.30312623201237	
D003015	species	169435	Anaerotruncus colihominis	Bacteria	200	0.163232537895	0.0258041	0.389749688071964	
D003015	species	1308	Streptococcus thermophilus	Bacteria	199	0.337666933226131	0.0257566	1.50496987124741	
D003015	species	328813	Alistipes onderdonkii	Bacteria	199	1.74319170182915	0.023005	9.33046828150266	
D003015	species	39484	Eubacterium desmolans	Bacteria	195	0.0807079456410256	0.0289376	0.134750442405774	
D003015	species	39778	Veillonella dispar	Bacteria	194	0.433270596561856	0.0161425	2.14785674947862	
D003015	species	218538	Dialister invisus	Bacteria	189	0.661273358740741	0.0217221	1.80493083641241	
D003015	species	46503	Parabacteroides merdae	Bacteria	188	0.764696970196808	0.05607955	2.84847560901826	
D003015	species	204516	Bacteroides massiliensis	Bacteria	188	0.613201156723404	0.025843	2.0475224517929	
D003015	species	1522	[Clostridium] innocuum	Bacteria	185	1.25136322888649	0.0392098	9.20777382213846	
D003015	species	29348	[Clostridium] spiroforme	Bacteria	185	0.169773106367568	0.0279076	0.422619593260468	
D003015	species	291645	Bacteroides nordii	Bacteria	184	0.203597780434783	0.01049726	0.653921799364399	
D003015	species	44749	Sporobacter termitidis	Bacteria	182	0.0918233035274725	0.0110298	0.347025884494745	
D003015	species	165179	Prevotella copri	Bacteria	182	1.01113018653846	0.01864	3.82869073457755	
D003015	species	39491	[Eubacterium] rectale	Bacteria	180	0.6910531495	0.02613975	1.99474766049486	
D003015	species	301301	Roseburia hominis	Bacteria	180	0.119198453322222	0.01611085	0.230126157227069	
D003015	species	329854	Bacteroides intestinalis	Bacteria	180	0.138328013938889	0.01531005	0.455879688512504	
D003015	species	1559	Clostridium tertium	Bacteria	178	0.983880001134831	0.01322955	4.1125042050889	
D003015	species	584	Proteus mirabilis	Bacteria	177	0.565240560361582	0.00505051	2.81501487562855	
D003015	species	180164	Blautia schinkii	Bacteria	175	0.396038349251429	0.00675653	2.04668842970021	
D003015	species	1496	Clostridioides difficile	Bacteria	172	0.900911769366279	0.01404925	4.41520050621605	
D003015	species	33035	Blautia producta	Bacteria	171	0.242790934502924	0.0401191	0.825060713794087	
D003015	species	36847	[Clostridium] neopropionicum	Bacteria	170	0.153547097941176	0.02033765	0.568573961488641	
D003015	species	358742	[Clostridium] aldenense	Bacteria	170	0.0984333862294118	0.01351515	0.227746466517656	
D003015	species	1596	Lactobacillus gasseri	Bacteria	169	0.260378695366864	0.0122115	0.812574742168246	
D003015	species	1532	Blautia coccoides	Bacteria	166	0.0736699601807229	0.0130263	0.190220206187822	
D003015	species	214856	Alistipes finegoldii	Bacteria	166	0.283670626909639	0.0457312	0.784563136162981	
D003015	species	216816	Bifidobacterium longum	Bacteria	166	0.586589299981928	0.040274	2.86618069439763	
D003015	species	28118	Odoribacter splanchnicus	Bacteria	165	0.444326276745455	0.0338606	1.32890844692936	
D003015	species	28446	[Clostridium] propionicum	Bacteria	164	0.0711683086463415	0.01234845	0.191719722519842	
D003015	species	84026	[Clostridium] methylpentosum	Bacteria	164	0.0633945125609756	0.0136417	0.207954386221825	
D003015	species	39492	[Eubacterium] siraeum	Bacteria	163	0.0707772335705521	0.0080444	0.20687168431322	
D003015	species	1671366	Ruminococcus sp. DSM 100440	Bacteria	163	0.177810074748466	0.00810526	0.518422373014343	
D003015	species	1660	Actinomyces odontolyticus	Bacteria	162	0.14679254437037	0.01094615	0.512543420860035	
D003015	species	1755626	Faecalibacterium sp. MC_41	Bacteria	162	1.81112690895062	0.0650916	4.80454378530871	
D003015	species	626937	Christensenella minuta	Bacteria	161	0.0901187169068323	0.0122234	0.257257304515867	
D003015	species	39488	[Eubacterium] hallii	Bacteria	158	0.0509844297658228	0.0117345	0.165309586669193	
D003015	species	261299	Intestinibacter bartlettii	Bacteria	157	0.102129078764331	0.0223414	0.252149381747918	
D003015	species	1354	Enterococcus hirae	Bacteria	155	0.143016651929032	0.00857251	0.609570268360247	
D003015	species	39485	[Eubacterium] eligens	Bacteria	153	0.193445733496732	0.0220775	0.760898644072064	
D003015	species	851	Fusobacterium nucleatum	Bacteria	152	0.579400926118421	0.01127925	2.64818021044777	
D003015	species	310298	Bacteroides coprocola	Bacteria	152	0.984991632717105	0.05042285	3.05796996242365	
D003015	species	1582	Lactobacillus casei	Bacteria	151	0.360123030516556	0.0234679	0.97049234940056	
D003015	species	39486	Dorea formicigenerans	Bacteria	150	0.0649792224066667	0.02172745	0.133324105978314	
D003015	species	74426	Collinsella aerofaciens	Bacteria	150	0.569602989686667	0.01889495	1.60979824166058	
D003015	species	39496	Eubacterium ventriosum	Bacteria	149	0.0495143298926174	0.0102959	0.111229181123068	
D003015	species	29363	Clostridium paraputrificum	Bacteria	148	0.137733338277027	0.01324265	0.373358480821867	
D003015	species	40518	Ruminococcus bromii	Bacteria	147	0.146176541884354	0.0159538	0.529108425722252	
D003015	species	410072	Coprococcus comes	Bacteria	147	0.258140474965986	0.0259294	1.10409009584063	
D003015	species	1343	Streptococcus vestibularis	Bacteria	146	2.07466892674658	0.02272535	6.53087940566766	
D003015	species	166486	Roseburia intestinalis	Bacteria	146	0.0672021487191781	0.008785515	0.264281528446335	
D003015	species	328814	Alistipes shahii	Bacteria	146	0.216798666952055	0.0193332	0.699823556945497	
D003015	species	197614	Streptococcus pasteurianus	Bacteria	145	0.487244470682759	0.0106678	2.18020293076048	
D003015	species	1465754	Alistipes timonensis	Bacteria	145	0.0431495008896552	0.0112406	0.0885887359506746	
D003015	species	143393	[Eubacterium] sulci	Bacteria	144	0.0793692457152778	0.02449765	0.122038629504166	
D003015	species	341225	[Clostridium] saccharogumia	Bacteria	144	0.170613510229167	0.00864164	1.43552471135739	
D003015	species	1561	Clostridium baratii	Bacteria	141	16.3103021067234	0.0332718	21.8304714972865	
D003015	species	1280	Staphylococcus aureus	Bacteria	140	0.09769754435	0.01086315	0.42292162760108	
D003015	species	29370	[Clostridium] sphenoides	Bacteria	140	0.0322205584	0.00721771	0.0681087211953645	
D003015	species	729	Haemophilus parainfluenzae	Bacteria	138	0.296600510115942	0.017649	1.51617618561765	
D003015	species	1680	Bifidobacterium adolescentis	Bacteria	138	0.214288109789855	0.01278805	0.758654366390276	
D003015	species	29347	[Clostridium] scindens	Bacteria	138	0.13722000826087	0.01457745	0.376029128496664	
D003015	species	100884	Coprobacillus cateniformis	Bacteria	136	0.0620040709632353	0.0130224	0.236282368147848	
D003015	species	1379	Gemella haemolysans	Bacteria	133	0.0453795730526316	0.00696314	0.199094717074126	
D003015	species	105841	Anaerostipes caccae	Bacteria	132	0.211880332545455	0.01338975	0.786523871864884	
D003015	species	288965	[Clostridium] clariflavum	Bacteria	132	0.0453446298560606	0.01009735	0.136272333571163	
D003015	species	1265	Ruminococcus flavefaciens	Bacteria	131	0.0390615039236641	0.00657707	0.104622551863956	
D003015	species	31971	[Eubacterium] dolichum	Bacteria	129	0.603077739302326	0.0363562	1.75237625640371	
D003015	species	61171	Holdemania filiformis	Bacteria	128	0.0398869766640625	0.01717165	0.0598765975588281	
D003015	species	28111	Bacteroides eggerthii	Bacteria	127	0.247817055952756	0.00810583	0.808753616623354	
D003015	species	856	Fusobacterium varium	Bacteria	126	0.67319671865873	0.008109235	3.31386048726752	
D003015	species	876	Desulfovibrio desulfuricans	Bacteria	126	0.057496527515873	0.01936035	0.14376307030719	
D003015	species	1311	Streptococcus agalactiae	Bacteria	126	0.187280826706349	0.008134115	1.27401693919389	
D003015	species	133453	Caldilinea aerophila	Bacteria	122	0.0482471861721311	0.0109058	0.093151856198666	
D003015	species	155617	Enterococcus moraviensis	Bacteria	119	0.0582516860504202	0.0058129	0.223674989691173	
D003015	species	53443	Blautia hydrogenotrophica	Bacteria	118	0.0654816519745763	0.00992946	0.176037949351174	
D003015	species	328812	Parabacteroides goldsteinii	Bacteria	118	0.12667601361017	0.009749725	0.354866993391188	
D003015	species	1307	Streptococcus suis	Bacteria	116	0.0794180246465517	0.00992385	0.1866132718014	
D003015	species	28026	Bifidobacterium pseudocatenulatum	Bacteria	116	0.776132552689655	0.05492425	2.94648774072215	
D003015	species	52787	Anaerofilum pentosovorans	Bacteria	116	0.245683623086207	0.0145586	0.84678185675007	
D003015	species	1358	Lactococcus lactis	Bacteria	115	0.489599025904348	0.0116822	3.80239450197644	
D003015	species	839	Prevotella ruminicola	Bacteria	114	0.0418975076403509	0.00627035	0.117020502175377	
D003015	species	1356	Enterococcus sulfureus	Bacteria	114	0.0649758930526316	0.006555085	0.20035103892351	
D003015	species	40519	Ruminococcus callidus	Bacteria	113	0.138451027734513	0.00589466	0.551451293752533	
D003015	species	1282	Staphylococcus epidermidis	Bacteria	112	2.16636778874107	0.00973613	6.25836906417669	
D003015	species	114702	Actinomyces lingnae	Bacteria	112	0.0212254264553571	0.00599665	0.0815487777029482	
D003015	species	1689	Bifidobacterium dentium	Bacteria	111	0.29419713781982	0.0111354	0.854492704541043	
D003015	species	28127	Prevotella buccalis	Bacteria	111	0.182327986585586	0.00926226	0.741634235716456	
D003015	species	1590	Lactobacillus plantarum	Bacteria	109	0.103322958972477	0.00855042	0.270245321662976	
D003015	species	1297750	Bacteroides luti	Bacteria	109	0.838845440743119	0.0854767	1.76062952574898	
D003015	species	57706	Citrobacter braakii	Bacteria	107	0.251942738411215	0.0110263	0.524413698663104	
D003015	species	853	Faecalibacterium prausnitzii	Bacteria	105	0.849028081619048	0.181098	1.31320046209606	
D003015	species	1685	Bifidobacterium breve	Bacteria	105	0.316056344647619	0.0266465	0.661400259003675	
D003015	species	39029	Megasphaera cerevisiae	Bacteria	105	0.559059031428571	0.00799648	2.02689183783012	
D003015	species	43675	Rothia mucilaginosa	Bacteria	105	0.0330941246666667	0.00759221	0.0579932802456936	
D003015	species	39490	Eubacterium ramulus	Bacteria	103	0.102109810330097	0.0166824	0.29821566211429	
D003015	species	1161942	Ruminococcus champanellensis	Bacteria	103	0.110807254941748	0.0059805	0.477826148239066	
D003015	species	1336	Streptococcus equi	Bacteria	101	0.0474204483168317	0.0067769	0.121661839213872	
D003015	species	167964	Anaerolinea thermophila	Bacteria	101	0.121406419772277	0.00985869	0.295293910503049	
D003015	species	33031	Peptoniphilus lacrimalis	Bacteria	100	0.23287117321	0.03642075	0.364443413119577	
D003015	species	115979	Bacillus nealsonii	Bacteria	100	0.02236181483	0.007517445	0.0461834089349274	
D003015	species	471189	Gordonibacter pamelaeae	Bacteria	100	0.02030241162	0.00650775	0.03865015950619	
D003015	species	1349	Streptococcus uberis	Bacteria	97	0.203249750309278	0.0127121	1.55124196158411	
D003015	species	1598	Lactobacillus reuteri	Bacteria	97	0.347946750979381	0.0233609	0.995550360045338	
D003015	species	173480	Gemmatimonas aurantiaca	Bacteria	97	0.52980838343299	0.0144523	1.11549985891185	
D003015	species	1328	Streptococcus anginosus	Bacteria	96	0.0197192020833333	0.008389235	0.030711089387609	
D003015	species	1504	Clostridium septicum	Bacteria	96	0.301271199083333	0.01083095	1.08077254439498	
D003015	species	35760	Bifidobacterium choerinum	Bacteria	96	0.0573578103125	0.01063285	0.139343643395238	
D003015	species	341220	Lactonifactor longoviformis	Bacteria	96	0.021169876875	0.004991515	0.0480418141501678	
D003015	species	573	Klebsiella pneumoniae	Bacteria	95	1.09632322565263	0.018044	5.64722718823818	
D003015	species	1264	Ruminococcus albus	Bacteria	95	0.0822332772421053	0.00643998	0.325713110613354	
D003015	species	89014	Blautia luti	Bacteria	95	0.257872487473684	0.0902407	0.445995333984391	
D003015	species	387661	Parabacteroides johnsonii	Bacteria	95	0.724985312094737	0.0135211	2.03578802499718	
D003015	species	28025	Bifidobacterium animalis	Bacteria	94	0.254113904797872	0.02230335	0.68908076968248	
D003015	species	29389	Streptococcus alactolyticus	Bacteria	94	1.04268723587234	0.004687805	4.84015947170341	
D003015	species	180332	Robinsoniella peoriensis	Bacteria	94	0.121847335521277	0.003165895	0.694161113485424	
D003015	species	196024	Aeromonas dhakensis	Bacteria	94	0.0636437756170213	0.0055901	0.235761165723051	
D003015	species	762210	Bifidobacterium saguini	Bacteria	94	0.0468481579787234	0.009802525	0.0757337857583781	
D003015	species	39777	Veillonella atypica	Bacteria	93	0.641052338752688	0.0143489	2.38574064790629	
D003015	species	46124	Granulicatella adiacens	Bacteria	93	0.329501015053763	0.0084981	2.40906196676223	
D003015	species	191495	Conexibacter woesei	Bacteria	93	0.469783352258065	0.00518233	1.00651997360313	
D003015	species	291644	Bacteroides salyersiae	Bacteria	93	0.408397346247312	0.00707585	1.91060195841563	
D003015	species	907	Megasphaera elsdenii	Bacteria	92	0.248245620945652	0.007166415	1.20919340647433	
D003015	species	1694	Bifidobacterium pseudolongum	Bacteria	92	0.111654685652174	0.007640185	0.405263445337299	
D003015	species	39483	Faecalitalea cylindroides	Bacteria	92	0.05041222625	0.008278755	0.0899085119056988	
D003015	species	46228	Ruminococcus lactaris	Bacteria	92	0.105212804456522	0.009517345	0.342135806904333	
D003015	species	52226	Mitsuokella multacida	Bacteria	92	0.0787177594130435	0.0154577	0.207115356965365	
D003015	species	623	Shigella flexneri	Bacteria	91	0.112990652549451	0.00662325	0.811718686820963	
D003015	species	102684	Streptococcus infantarius	Bacteria	91	0.209505319230769	0.0151515	0.626915994247582	
D003015	species	645466	Anaerostipes butyraticus	Bacteria	91	0.0174867321538462	0.00638189	0.033895023078746	
D003015	species	1520	Clostridium beijerinckii	Bacteria	90	0.0860394361111111	0.005822165	0.233789079384315	
D003015	species	1655	Actinomyces naeslundii	Bacteria	90	0.0268684783	0.008298105	0.0601219534867052	
D003015	species	2736	Verrucomicrobium spinosum	Bacteria	90	0.246484339488889	0.007926725	0.484760720925002	
D003015	species	214853	Anaerofustis stercorihominis	Bacteria	90	0.0113935682555556	0.005185545	0.0148385829956625	
D003015	species	47246	[Clostridium] viride	Bacteria	89	0.0935098246516854	0.0184138	0.184437610341541	
D003015	species	1121298	Clostridium amylolyticum	Bacteria	89	0.265939665348315	0.00378632	1.01361242973847	
D003015	species	1322	Blautia hansenii	Bacteria	88	0.247263690568182	0.0337129	0.536505266563896	
D003015	species	1492	Clostridium butyricum	Bacteria	88	0.0770344419204545	0.00659726	0.345136591618409	
D003015	species	1605	Lactobacillus animalis	Bacteria	88	0.9045117095	0.00999785	4.48756460107905	
D003015	species	1510	[Clostridium] stercorarium	Bacteria	87	0.0360009992413793	0.00930254	0.0702678958023524	
D003015	species	1599	Lactobacillus sakei	Bacteria	87	0.0267273351264368	0.00894347	0.0357544892008761	
D003015	species	1597	Lactobacillus paracasei	Bacteria	86	0.12527481522093	0.010132775	0.324381436795394	
D003015	species	1633	Lactobacillus vaginalis	Bacteria	86	0.0511468222674419	0.0145926	0.100264579177055	
D003015	species	1747	Propionibacterium acnes	Bacteria	86	0.068567231372093	0.00484088	0.391077634813299	
D003015	species	39493	Clostridium tarantellae	Bacteria	86	0.0307891070348837	0.00473975	0.0782141000540271	
D003015	species	133926	Olsenella uli	Bacteria	85	0.110677820011765	0.00670511	0.427155700059071	
D003015	species	437898	Sutterella parvirubra	Bacteria	85	0.202843229694118	0.00638937	0.6818206164465	
D003015	species	1408	Bacillus pumilus	Bacteria	84	0.0326294315357143	0.00597777	0.0909438951626196	
D003015	species	33959	Lactobacillus johnsonii	Bacteria	84	0.0781391427738095	0.007245295	0.349722526701849	
D003015	species	61435	Dehalococcoides mccartyi	Bacteria	84	0.0131713171428571	0.00591086	0.016296171486721	
D003015	species	180311	Hespellia stercorisuis	Bacteria	84	0.0788887880952381	0.0273915	0.141214853025139	
D003015	species	332163	Candidatus Solibacter usitatus	Bacteria	84	0.266797973285714	0.01157115	0.491891674248423	
D003015	species	358743	[Clostridium] citroniae	Bacteria	84	0.0202434249880952	0.004454685	0.0605010497246881	
D003015	species	40324	Stenotrophomonas maltophilia	Bacteria	83	0.253719099578313	0.00332381	1.20448402778679	
D003015	species	158787	Bifidobacterium scardovii	Bacteria	83	0.211806597795181	0.0122745	0.504554091472698	
D003015	species	454154	Paraprevotella clara	Bacteria	83	0.143532674337349	0.00579366	0.546339240035398	
D003015	species	658062	Candidatus Koribacter versatilis	Bacteria	83	0.758094786698795	0.0182234	1.42682060747199	
D003015	species	1428	Bacillus thuringiensis	Bacteria	82	0.0215391353414634	0.008997315	0.0315910284887032	
D003015	species	29375	[Clostridium] xylanolyticum	Bacteria	82	0.0288033150365854	0.006814935	0.0539820797241558	
D003015	species	552810	Dehalogenimonas lykanthroporepellens	Bacteria	82	0.0293204774878049	0.00742464	0.0446428656319892	
D003015	species	114	Gemmata obscuriglobus	Bacteria	81	1.81811148351852	0.0303349	6.39183347623914	
D003015	species	654	Aeromonas veronii	Bacteria	81	0.0269825675308642	0.00394664	0.0946337810346566	
D003015	species	2047	Rothia dentocariosa	Bacteria	81	0.0842253522098765	0.00546657	0.344369754643716	
D003015	species	78345	Bifidobacterium merycicum	Bacteria	81	0.52873086917284	0.0355327	1.00574306209541	
D003015	species	671267	Bacteroides sartorii	Bacteria	81	0.111245543691358	0.00718107	0.610883975259273	
D003015	species	1681	Bifidobacterium bifidum	Bacteria	80	0.281151554775	0.0138176	0.800147761683674	
D003015	species	28135	Prevotella oris	Bacteria	80	0.01979834	0.004248135	0.0384314171479224	
D003015	species	467976	Iamia majanohamensis	Bacteria	80	0.12142922315	0.00583471	0.228930951169098	
D003015	species	1735	Holdemanella biformis	Bacteria	79	0.306446357341772	0.00822741	0.870693833322815	
D003015	species	185300	Paludibacter propionicigenes	Bacteria	79	0.0365471138481013	0.00391221	0.186863863375171	
D003015	species	228603	Prevotella shahii	Bacteria	79	0.0773616876582278	0.00515597	0.33166441611367	
D003015	species	591197	Ignavibacterium album	Bacteria	79	0.0207919312405063	0.00537765	0.0352182698401396	
D003015	species	1686	Bifidobacterium catenulatum	Bacteria	78	1.13662886421795	0.03714425	2.57326587887948	
D003015	species	29360	Cellulosilyticum lentocellum	Bacteria	78	0.105053150474359	0.006123515	0.447773533370141	
D003015	species	33043	Coprococcus eutactus	Bacteria	78	0.112188887269231	0.00636455	0.475411271833654	
D003015	species	44742	Desulfovibrio fairfieldensis	Bacteria	78	0.045376722525641	0.008239375	0.0986080552403558	
D003015	species	48466	Prosthecobacter vanneervenii	Bacteria	78	0.225083445846154	0.008496645	0.408411343318176	
D003015	species	363277	Ktedonobacter racemifer	Bacteria	78	0.346250358589744	0.011531505	0.624781865187759	
D003015	species	1404	Bacillus megaterium	Bacteria	77	0.0194773026233766	0.00537765	0.0425245186374762	
D003015	species	465721	Steroidobacter denitrificans	Bacteria	77	0.349466584454545	0.0202233	0.618844353053514	
D003015	species	29448	Bradyrhizobium elkanii	Bacteria	76	0.371699937210526	0.02172955	0.658395811530633	
D003015	species	287	Pseudomonas aeruginosa	Bacteria	75	0.754805818933333	0.00818398	3.84549746123238	
D003015	species	363832	Solirubrobacter soli	Bacteria	75	0.40102281208	0.0142853	0.746239591750379	
D003015	species	294	Pseudomonas fluorescens	Bacteria	74	0.0444538759864865	0.00460222	0.132084524150711	
D003015	species	1507	Clostridium sp. ATCC 29733	Bacteria	74	0.0133088411621622	0.005933725	0.026111814350989	
D003015	species	1624	Lactobacillus salivarius	Bacteria	74	0.790626547567568	0.01337665	3.44740565765753	
D003015	species	35785	Clostridium maximum	Bacteria	74	0.0228655636486487	0.00549757	0.0721781642083178	
D003015	species	626930	Bacteroides fluxus	Bacteria	74	0.101051083891892	0.0105029	0.336405326078508	
D003015	species	871324	Bacteroides stercorirosoris	Bacteria	74	0.0349399432297297	0.006740255	0.0790228645941163	
D003015	species	78342	Bifidobacterium gallicum	Bacteria	73	0.0918901822876712	0.0164548	0.181174231885377	
D003015	species	290055	[Eubacterium] fissicatena	Bacteria	73	0.0187581430136986	0.00657536	0.0313492305887372	
D003015	species	310297	Bacteroides plebeius	Bacteria	73	0.0475217020547945	0.00502993	0.159704789690532	
D003015	species	1613	Lactobacillus fermentum	Bacteria	72	0.475714166319444	0.01124465	1.86253578032676	
D003015	species	33954	Clostridium magnum	Bacteria	72	0.0183039159444444	0.00820634	0.0440157257752573	
D003015	species	35517	[Eubacterium] brachy	Bacteria	72	0.0456258725972222	0.01403815	0.135222373357981	
D003015	species	147207	Collinsella intestinalis	Bacteria	72	0.720820511388889	0.02322085	1.72852308715742	
D003015	species	166501	Thermobaculum terrenum	Bacteria	72	0.0326052557638889	0.00854566	0.0490406690881514	
D003015	species	301302	Roseburia faecis	Bacteria	72	0.0722870125	0.01947855	0.12405193608209	
D003015	species	387090	Bacteroides coprophilus	Bacteria	72	0.201047350430556	0.006218525	1.58159049147996	
D003015	species	626932	Alistipes indistinctus	Bacteria	72	0.172519573805556	0.0117352	0.739534960981302	
D003015	species	550	Enterobacter cloacae	Bacteria	71	0.0897733659577465	0.00505051	0.443061578257148	
D003015	species	1267	Clostridium ventriculi	Bacteria	71	0.0276138540985915	0.00943396	0.0425290574073983	
D003015	species	1313	Streptococcus pneumoniae	Bacteria	71	0.026358875056338	0.0101771	0.0469846642896928	
D003015	species	1736	Eubacterium limosum	Bacteria	70	0.0426330422142857	0.01002131	0.107386158259142	
D003015	species	36745	Clostridium saccharoperbutylacetonicum	Bacteria	70	0.0822328331142857	0.006295565	0.263870530273014	
D003015	species	47715	Lactobacillus rhamnosus	Bacteria	70	0.203775104257143	0.0082372	0.974231028969438	
D003015	species	160453	Enterococcus gilvus	Bacteria	70	0.0526021983857143	0.009579015	0.116711977492121	
D003015	species	549	Pantoea agglomerans	Bacteria	69	0.0136119965942029	0.00353257	0.0254167577537323	
D003015	species	29354	[Clostridium] celerecrescens	Bacteria	69	0.0204064289855072	0.00598874	0.0297400201120664	
D003015	species	39497	Eubacterium xylanophilum	Bacteria	69	0.0825052331449275	0.00963925	0.244499518157782	
D003015	species	40214	Acinetobacter johnsonii	Bacteria	69	0.176583066884058	0.00364206	0.777435918194594	
D003015	species	905	Acidaminococcus fermentans	Bacteria	68	0.246180945573529	0.009185255	1.54550568273478	
D003015	species	1402	Bacillus licheniformis	Bacteria	68	0.0153379732352941	0.00643637	0.0232121095157235	
D003015	species	39950	Dialister pneumosintes	Bacteria	68	0.0845990918088235	0.007729565	0.322870549299171	
D003015	species	61635	Acholeplasma brassicae	Bacteria	68	0.0802020968382353	0.00729498	0.228570708746546	
D003015	species	360807	Roseburia inulinivorans	Bacteria	68	0.0763936596029412	0.007216245	0.226765630156365	
D003015	species	28126	Prevotella buccae	Bacteria	67	0.0753550609552239	0.00868885	0.194497642918024	
D003015	species	194326	Lactobacillus versmoldensis	Bacteria	67	0.282712083059701	0.0191457	0.672024641142903	
D003015	species	28161	Bisgaard Taxon 7	Bacteria	66	0.0848244827272727	0.01345175	0.173800613730805	
D003015	species	38986	Acholeplasma palmae	Bacteria	66	0.282057768	0.01428805	1.57328869474378	
D003015	species	47770	Lactobacillus crispatus	Bacteria	66	0.0350324723181818	0.0055901	0.0796196756304338	
D003015	species	349931	Clostridium cavendishii	Bacteria	66	0.855256813636364	0.00362302	3.02519612043414	
D003015	species	574375	Bacillus gaemokensis	Bacteria	66	0.0425280068636364	0.00812136	0.100401249080383	
D003015	species	2751	Carnobacterium maltaromaticum	Bacteria	65	0.0487102060769231	0.00593261	0.286767691937622	
D003015	species	36835	[Clostridium] colinum	Bacteria	65	0.0722316842461539	0.00650153	0.294918856227037	
D003015	species	85831	Bacteroides acidifaciens	Bacteria	65	0.3331246988	0.0349584	1.15080293236625	
D003015	species	97253	Eubacterium plexicaudatum	Bacteria	65	0.0100452865230769	0.00425459	0.0206631770956644	
